Date,Time,Elapsed Seconds,Latitude,Longitude,Temperature Probe-Temperature (&#x2103;),Humidity-Humidity (%RH),Dew Point-Dew Point (&#x2103;),Ambient Light Intensity-Light (lux),Heat Index-Heat Index (&#x2103;)
6/7/2026,11:08:39 AM,0,0.00000,0.00000,30.2,60.4,22.2,274.72,34.4
6/7/2026,11:08:40 AM,1,0.00000,0.00000,30.3,60.4,22.2,276.42,34.4
6/7/2026,11:08:41 AM,2,0.00000,0.00000,30.2,60.4,22.2,227,34.4
6/7/2026,11:08:42 AM,3,0.00000,0.00000,30.2,60.4,22.2,264.7,34.4
6/7/2026,11:08:43 AM,4,0.00000,0.00000,30.3,60.4,22.2,376.27,34.4
6/7/2026,11:08:44 AM,5,0.00000,0.00000,30.3,60.4,22.2,431.98,34.4
6/7/2026,11:08:45 AM,6,0.00000,0.00000,30.4,60.4,22.2,492.57,34.4
6/7/2026,11:08:46 AM,7,0.00000,0.00000,30.3,60.4,22.2,603.51,34.4
6/7/2026,11:08:47 AM,8,0.00000,0.00000,30.3,60.4,22.2,734.87,34.5
6/7/2026,11:08:48 AM,9,0.00000,0.00000,30.5,60.5,22.3,542.44,34.5
6/7/2026,11:08:49 AM,10,0.00000,0.00000,30.4,60.4,22.3,609.37,34.5
6/7/2026,11:08:50 AM,11,0.00000,0.00000,30.5,60.3,22.2,638.41,34.5
6/7/2026,11:08:51 AM,12,0.00000,0.00000,30.6,60.2,22.2,648.01,34.5
6/7/2026,11:08:52 AM,13,0.00000,0.00000,30.6,60.3,22.2,638.62,34.5
6/7/2026,11:08:53 AM,14,0.00000,0.00000,30.6,60.3,22.2,634.23,34.5
6/7/2026,11:08:54 AM,15,0.00000,0.00000,30.6,60.3,22.3,673.01,34.5
6/7/2026,11:08:55 AM,16,0.00000,0.00000,30.5,60.3,22.3,650.83,34.6
6/7/2026,11:08:56 AM,17,0.00000,0.00000,30.7,60.4,22.3,685.4,34.6
6/7/2026,11:08:57 AM,18,0.00000,0.00000,30.7,60.5,22.3,614,34.6
6/7/2026,11:08:58 AM,19,0.00000,0.00000,30.6,60.9,22.5,749.7,34.8
6/7/2026,11:08:59 AM,20,0.00000,0.00000,30.7,61,22.5,720.54,34.8
6/7/2026,11:09:00 AM,21,0.00000,0.00000,30.9,60.9,22.5,704.92,34.8
6/7/2026,11:09:01 AM,22,0.00000,0.00000,30.6,60.9,22.5,710.11,34.8
6/7/2026,11:09:02 AM,23,0.00000,0.00000,30.9,60.6,22.4,818.09,34.8
6/7/2026,11:09:03 AM,24,0.00000,0.00000,30.9,60.7,22.4,769.86,34.8
6/7/2026,11:09:04 AM,25,0.00000,0.00000,30.8,60.7,22.4,585.2,34.8
6/7/2026,11:09:05 AM,26,0.00000,0.00000,30.9,60.3,22.3,664.36,34.7
6/7/2026,11:09:06 AM,27,0.00000,0.00000,30.9,60.1,22.3,663.5,34.7
6/7/2026,11:09:07 AM,28,0.00000,0.00000,30.9,60.1,22.3,692.03,34.7
6/7/2026,11:09:08 AM,29,0.00000,0.00000,30.9,59.8,22.2,664.09,34.6
6/7/2026,11:09:09 AM,30,0.00000,0.00000,31.1,59.7,22.2,665.42,34.6
6/7/2026,11:09:10 AM,31,0.00000,0.00000,31.1,59.6,22.2,631.37,34.6
6/7/2026,11:09:11 AM,32,0.00000,0.00000,31,59.6,22.2,516.83,34.6
6/7/2026,11:09:12 AM,33,0.00000,0.00000,30.9,59.6,22.2,642.75,34.6
6/7/2026,11:09:13 AM,34,0.00000,0.00000,31.1,59.7,22.2,664.25,34.7
6/7/2026,11:09:14 AM,35,0.00000,0.00000,31.1,59.8,22.2,481.08,34.7
6/7/2026,11:09:15 AM,36,0.00000,0.00000,31.1,59.8,22.3,605.72,34.7
6/7/2026,11:09:16 AM,37,0.00000,0.00000,31.1,59.9,22.3,549.09,34.8
6/7/2026,11:09:17 AM,38,0.00000,0.00000,31.1,59.9,22.3,743.17,34.7
6/7/2026,11:09:18 AM,39,0.00000,0.00000,31.2,59.9,22.3,760.31,34.8
6/7/2026,11:09:19 AM,40,0.00000,0.00000,31.2,59.9,22.3,694.72,34.8
6/7/2026,11:09:20 AM,41,0.00000,0.00000,31.3,59.9,22.3,650.34,34.8
6/7/2026,11:09:21 AM,42,0.00000,0.00000,31.4,59.9,22.3,627.37,34.8
6/7/2026,11:09:22 AM,43,0.00000,0.00000,31.4,59.9,22.3,564.67,34.8
6/7/2026,11:09:23 AM,44,0.00000,0.00000,31.3,60,22.3,690.97,34.9
6/7/2026,11:09:24 AM,45,0.00000,0.00000,31.3,60.3,22.5,616.53,35
6/7/2026,11:09:25 AM,46,0.00000,0.00000,31.3,60.6,22.5,530.78,35.1
6/7/2026,11:09:26 AM,47,0.00000,0.00000,31.2,60.3,22.5,646.04,35
6/7/2026,11:09:27 AM,48,0.00000,0.00000,31.5,60.1,22.4,572.4,35
6/7/2026,11:09:28 AM,49,0.00000,0.00000,31.5,59.8,22.4,870.98,34.9
6/7/2026,11:09:29 AM,50,0.00000,0.00000,31.3,59.6,22.3,655.69,34.9
6/7/2026,11:09:30 AM,51,0.00000,0.00000,31.3,59.6,22.3,660.05,34.9
6/7/2026,11:09:31 AM,52,0.00000,0.00000,31.4,59.7,22.3,487.01,34.9
6/7/2026,11:09:32 AM,53,0.00000,0.00000,31.4,59.6,22.3,486.39,34.9
6/7/2026,11:09:33 AM,54,0.00000,0.00000,31.4,59.6,22.3,632.91,34.9
6/7/2026,11:09:34 AM,55,0.00000,0.00000,31.4,59.6,22.3,496.9,34.9
6/7/2026,11:09:35 AM,56,0.00000,0.00000,31.2,59.6,22.3,468.33,34.9
6/7/2026,11:09:36 AM,57,0.00000,0.00000,31.4,59.7,22.3,376.66,35
6/7/2026,11:09:37 AM,58,0.00000,0.00000,31.3,59.7,22.4,286.41,35
6/7/2026,11:09:38 AM,59,0.00000,0.00000,31.3,59.8,22.4,276.28,35
6/7/2026,11:09:39 AM,60,0.00000,0.00000,31.4,59.9,22.4,282.32,35
